month,slippage_points_per_leg,trades,pnl
2025-01,0.5,120,5616.736924618381
2025-02,0.5,136,7912.766297627619
2025-03,0.5,129,10804.652798840747
2025-04,0.5,119,17733.066580108556
2025-05,0.5,125,7934.699386457287
2025-06,0.5,148,4970.866666070113
2025-07,0.5,181,5888.683351920932
2025-08,0.5,146,6866.425198233424
2025-09,0.5,148,3349.1908323312673
2025-10,0.5,137,8893.298484631625
2025-11,0.5,99,9152.661556434672
2025-12,0.5,166,9956.785283906152
2026-01,0.5,126,8487.61546343741
2026-02,0.5,127,16468.473687028192
2026-03,0.5,110,16254.769422638783
2026-04,0.5,5,1890.4303212494415
2025-01,1.0,120,3216.7369246183807
2025-02,1.0,136,5192.766297627619
2025-03,1.0,129,8224.652798840747
2025-04,1.0,119,15353.066580108556
2025-05,1.0,125,5434.699386457287
2025-06,1.0,148,2010.866666070113
2025-07,1.0,181,2268.683351920932
2025-08,1.0,146,3946.4251982334245
2025-09,1.0,148,389.1908323312673
2025-10,1.0,137,6153.298484631625
2025-11,1.0,99,7172.661556434672
2025-12,1.0,166,6636.7852839061525
2026-01,1.0,126,5967.615463437411
2026-02,1.0,127,13928.473687028192
2026-03,1.0,110,14054.769422638783
2026-04,1.0,5,1790.4303212494415
2025-01,1.5,120,816.7369246183806
2025-02,1.5,136,2472.7662976276188
2025-03,1.5,129,5644.652798840747
2025-04,1.5,119,12973.066580108556
2025-05,1.5,125,2934.699386457287
2025-06,1.5,148,-949.1333339298872
2025-07,1.5,181,-1351.3166480790678
2025-08,1.5,146,1026.4251982334245
2025-09,1.5,148,-2570.8091676687327
2025-10,1.5,137,3413.2984846316244
2025-11,1.5,99,5192.661556434672
2025-12,1.5,166,3316.785283906153
2026-01,1.5,126,3447.6154634374107
2026-02,1.5,127,11388.473687028192
2026-03,1.5,110,11854.769422638783
2026-04,1.5,5,1690.4303212494415
2025-01,2.0,120,-1583.2630753816193
2025-02,2.0,136,-247.23370237238123
2025-03,2.0,129,3064.652798840747
2025-04,2.0,119,10593.066580108556
2025-05,2.0,125,434.699386457287
2025-06,2.0,148,-3909.133333929887
2025-07,2.0,181,-4971.316648079068
2025-08,2.0,146,-1893.5748017665755
2025-09,2.0,148,-5530.809167668733
2025-10,2.0,137,673.2984846316244
2025-11,2.0,99,3212.661556434672
2025-12,2.0,166,-3.214716093847187
2026-01,2.0,126,927.6154634374108
2026-02,2.0,127,8848.473687028192
2026-03,2.0,110,9654.769422638783
2026-04,2.0,5,1590.4303212494415
2025-01,2.5,120,-3983.2630753816193
2025-02,2.5,136,-2967.2337023723812
2025-03,2.5,129,484.65279884074687
2025-04,2.5,119,8213.066580108556
2025-05,2.5,125,-2065.300613542713
2025-06,2.5,148,-6869.133333929887
2025-07,2.5,181,-8591.316648079068
2025-08,2.5,146,-4813.574801766576
2025-09,2.5,148,-8490.809167668733
2025-10,2.5,137,-2066.7015153683756
2025-11,2.5,99,1232.661556434672
2025-12,2.5,166,-3323.2147160938475
2026-01,2.5,126,-1592.3845365625893
2026-02,2.5,127,6308.473687028192
2026-03,2.5,110,7454.769422638783
2026-04,2.5,5,1490.4303212494415
